,nox_emissions
675,127.16438692403482
676,127.16438692403482
677,127.16438692403482
678,127.16438692403482
679,127.16438692403482
680,127.16438692403482
681,127.16438692403482
682,127.16438692403482
683,127.16438692403482
684,127.16438692403482
685,127.16438692403482
686,127.16438692403482
687,127.16438692403482
688,127.16438692403482
689,127.16438692403482
690,127.16438692403482
691,127.16438692403482
692,127.16438692403482
693,127.16438692403482
694,127.16438692403482
695,127.16438692403482
696,127.16438692403482
697,127.16438692403482
698,127.16438692403482
699,127.16438692403482
700,127.16438692403482
701,127.16438692403482
702,127.16438692403482
703,127.16438692403482
704,127.16438692403482
705,127.16438692403482
706,127.16438692403482
707,127.16438692403482
708,127.16438692403482
709,127.16438692403482
710,127.16438692403482
711,127.16438692403482
712,127.16438692403482
713,127.16438692403482
714,127.16438692403482
715,127.16438692403482
716,127.16438692403482
717,127.16438692403482
718,30.0
719,30.0
720,127.16438692403482
721,127.16438692403482
722,127.16438692403482
723,127.16438692403482
724,127.16438692403482
725,127.16438692403482
726,127.16438692403482
727,127.16438692403482
728,127.16438692403482
729,127.16438692403482
730,127.16438692403482
731,127.16438692403482
732,127.16438692403482
733,127.16438692403482
734,127.16438692403482
735,127.16438692403482
736,127.16438692403482
737,127.16438692403482
738,127.16438692403482
739,127.16438692403482
740,127.16438692403482
741,127.16438692403482
742,127.16438692403482
743,127.16438692403482
744,127.16438692403482
745,127.16438692403482
746,127.16438692403482
747,127.16438692403482
748,127.16438692403482
749,127.16438692403482
750,127.16438692403482
751,127.16438692403482
752,127.16438692403482
753,127.16438692403482
754,127.16438692403482
755,127.16438692403482
756,127.16438692403482
757,127.16438692403482
758,127.16438692403482
759,127.16438692403482
760,127.16438692403482
761,127.16438692403482
762,127.16438692403482
763,127.16438692403482
764,127.16438692403482
765,127.16438692403482
766,127.16438692403482
767,127.16438692403482
768,127.16438692403482
769,127.16438692403482
770,127.16438692403482
771,127.16438692403482
772,127.16438692403482
773,127.16438692403482
774,127.16438692403482
775,127.16438692403482
776,127.16438692403482
777,127.16438692403482
778,127.16438692403482
779,127.16438692403482
780,127.16438692403482
781,127.16438692403482
782,127.16438692403482
783,127.16438692403482
784,127.16438692403482
785,127.16438692403482
786,127.16438692403482
787,127.16438692403482
788,127.16438692403482
789,127.16438692403482
790,127.16438692403482
791,127.16438692403482
792,127.16438692403482
793,127.16438692403482
794,127.16438692403482
795,127.16438692403482
796,127.16438692403482
797,127.16438692403482
798,127.16438692403482
799,127.16438692403482
800,127.16438692403482
801,127.16438692403482
802,127.16438692403482
803,127.16438692403482
804,127.16438692403482
805,127.16438692403482
806,127.16438692403482
807,127.16438692403482
808,127.16438692403482
809,127.16438692403482
810,127.16438692403482
811,127.16438692403482
812,127.16438692403482
813,127.16438692403482
814,127.16438692403482
815,127.16438692403482
816,127.16438692403482
817,127.16438692403482
818,127.16438692403482
819,127.16438692403482
820,127.16438692403482
821,127.16438692403482
822,127.16438692403482
823,127.16438692403482
824,127.16438692403482
825,127.16438692403482
826,127.16438692403482
827,127.16438692403482
828,127.16438692403482
829,127.16438692403482
830,127.16438692403482
831,127.16438692403482
832,127.16438692403482
833,127.16438692403482
834,127.16438692403482
835,127.16438692403482
836,127.16438692403482
837,127.16438692403482
838,127.16438692403482
839,127.16438692403482
840,127.16438692403482
841,127.16438692403482
842,127.16438692403482
843,127.16438692403482
844,127.16438692403482
845,127.16438692403482
846,127.16438692403482
847,127.16438692403482
848,127.16438692403482
849,127.16438692403482
850,127.16438692403482
851,127.16438692403482
852,127.16438692403482
853,127.16438692403482
854,127.16438692403482
855,127.16438692403482
856,127.16438692403482
857,127.16438692403482
858,127.16438692403482
859,127.16438692403482
860,127.16438692403482
861,127.16438692403482
862,127.16438692403482
863,127.16438692403482
864,127.16438692403482
865,31.0
866,53.0
867,13.0
868,31.0
869,18.0
870,6.0
871,127.16438692403482
872,127.16438692403482
873,127.16438692403482
874,127.16438692403482
875,127.16438692403482
876,127.16438692403482
877,127.16438692403482
878,695.0
879,658.0
880,127.16438692403482
881,127.16438692403482
882,127.16438692403482
883,127.16438692403482
884,127.16438692403482
885,127.16438692403482
886,127.16438692403482
887,127.16438692403482
888,127.16438692403482
889,127.16438692403482
890,127.16438692403482
891,127.16438692403482
892,127.16438692403482
893,127.16438692403482
894,127.16438692403482
895,127.16438692403482
896,127.16438692403482
897,127.16438692403482
898,127.16438692403482
899,127.16438692403482
900,127.16438692403482
901,127.16438692403482
902,127.16438692403482
903,127.16438692403482
904,127.16438692403482
905,127.16438692403482
906,127.16438692403482
907,127.16438692403482
908,127.16438692403482
909,127.16438692403482
910,127.16438692403482
911,127.16438692403482
912,127.16438692403482
913,127.16438692403482
914,127.16438692403482
915,127.16438692403482
916,127.16438692403482
917,127.16438692403482
918,127.16438692403482
919,127.16438692403482
920,127.16438692403482
921,127.16438692403482
922,127.16438692403482
923,127.16438692403482
924,127.16438692403482
925,127.16438692403482
926,127.16438692403482
927,127.16438692403482
928,127.16438692403482
929,127.16438692403482
930,127.16438692403482
931,127.16438692403482
932,127.16438692403482
933,127.16438692403482
934,127.16438692403482
935,127.16438692403482
936,127.16438692403482
937,127.16438692403482
938,127.16438692403482
939,127.16438692403482
940,127.16438692403482
941,127.16438692403482
942,127.16438692403482
943,127.16438692403482
944,127.16438692403482
945,127.16438692403482
946,127.16438692403482
947,127.16438692403482
948,127.16438692403482
949,127.16438692403482
950,127.16438692403482
951,127.16438692403482
952,127.16438692403482
953,127.16438692403482
954,84.0
955,67.0
956,54.0
957,380.0
958,56.0
959,72.0
960,50.0
961,127.16438692403482
962,127.16438692403482
963,127.16438692403482
964,127.16438692403482
965,127.16438692403482
966,127.16438692403482
967,127.16438692403482
968,127.16438692403482
969,22.0
970,22.0
971,40.0
972,57.0
973,48.0
974,57.0
975,57.0
976,127.16438692403482
977,127.16438692403482
978,127.16438692403482
979,127.16438692403482
980,127.16438692403482
981,127.16438692403482
982,127.16438692403482
983,127.16438692403482
984,127.16438692403482
985,127.16438692403482
986,127.16438692403482
987,127.16438692403482
988,127.16438692403482
989,127.16438692403482
990,127.16438692403482
991,127.16438692403482
992,127.16438692403482
993,127.16438692403482
994,127.16438692403482
995,127.16438692403482
996,127.16438692403482
997,127.16438692403482
998,127.16438692403482
999,127.16438692403482
1000,127.16438692403482
1001,127.16438692403482
1002,127.16438692403482
1003,127.16438692403482
1004,127.16438692403482
1005,127.16438692403482
1006,127.16438692403482
1007,127.16438692403482
1008,127.16438692403482
1009,127.16438692403482
1010,127.16438692403482
1011,127.16438692403482
1012,127.16438692403482
1013,127.16438692403482
1014,127.16438692403482
1015,127.16438692403482
1016,127.16438692403482
1017,127.16438692403482
1018,127.16438692403482
1019,127.16438692403482
1020,127.16438692403482
1021,127.16438692403482
1022,127.16438692403482
1023,127.16438692403482
1024,127.16438692403482
1025,127.16438692403482
1026,127.16438692403482
1027,127.16438692403482
1028,72.0
1029,103.0
1030,465.0
1031,37.0
1032,16.0
1033,98.0
1034,35.0
1035,127.16438692403482
1036,127.16438692403482
1037,127.16438692403482
1038,127.16438692403482
1039,127.16438692403482
1040,49.0
1041,35.0
1042,66.0
1043,35.0
1044,66.0
1045,55.0
1046,55.0
1047,49.0
1048,19.0
1049,32.0
