,thc_emissions_[mg/km]
1172,49.22662638179499
1173,49.22662638179499
1174,49.22662638179499
1175,49.22662638179499
1176,49.22662638179499
1177,49.22662638179499
1178,49.22662638179499
1179,49.22662638179499
1180,49.22662638179499
1181,49.22662638179499
1182,49.22662638179499
1183,49.22662638179499
1184,49.22662638179499
1185,101.0
1186,152.0
1187,49.22662638179499
1188,49.22662638179499
1189,49.22662638179499
1190,102.0
1191,49.22662638179499
1192,92.0
1193,49.22662638179499
1194,92.0
1195,49.22662638179499
1196,62.0
1197,49.22662638179499
1198,62.0
1199,49.22662638179499
1200,49.22662638179499
1201,118.0
1202,49.22662638179499
1203,80.0
1204,49.22662638179499
1205,86.0
1206,49.22662638179499
1207,60.0
1208,84.0
1209,49.22662638179499
1210,49.22662638179499
1211,118.0
1212,49.22662638179499
1213,59.0
1214,75.0
1215,49.22662638179499
1216,49.22662638179499
1217,49.22662638179499
1218,49.22662638179499
1219,89.0
1220,114.0
1221,49.22662638179499
1222,49.22662638179499
1223,60.0
1224,95.0
1225,49.22662638179499
1226,49.22662638179499
1227,40.0
1228,50.0
1229,40.0
1230,40.0
1231,20.0
1232,60.0
1233,49.22662638179499
1234,40.0
1235,50.0
1236,40.0
1237,40.0
1238,20.0
1239,60.0
1240,40.0
1241,60.0
1242,40.0
1243,60.0
1244,40.0
1245,50.0
1246,140.0
1247,40.0
1248,60.0
1249,40.0
1250,60.0
1251,40.0
1252,50.0
1253,140.0
1254,49.22662638179499
1255,61.0
1256,49.22662638179499
1257,49.22662638179499
1258,77.0
1259,49.22662638179499
1260,67.0
1261,49.22662638179499
1262,49.22662638179499
1263,49.22662638179499
1264,49.22662638179499
1265,49.22662638179499
1266,49.22662638179499
1267,49.22662638179499
1268,49.22662638179499
1269,49.22662638179499
1270,49.22662638179499
1271,49.22662638179499
1272,49.22662638179499
1273,49.22662638179499
1274,49.22662638179499
1275,49.22662638179499
1276,49.22662638179499
1277,49.22662638179499
1278,49.22662638179499
1279,49.22662638179499
1280,49.22662638179499
1281,49.22662638179499
1282,49.22662638179499
1283,49.22662638179499
1284,49.22662638179499
1285,49.22662638179499
1286,49.22662638179499
1287,49.22662638179499
1288,49.22662638179499
1289,49.22662638179499
1290,49.22662638179499
1291,49.22662638179499
1292,49.22662638179499
1293,49.22662638179499
1294,89.0
1295,49.22662638179499
1296,49.22662638179499
1297,49.22662638179499
1298,89.0
1299,49.22662638179499
1300,49.22662638179499
1301,49.22662638179499
1302,49.22662638179499
1303,49.22662638179499
1304,49.22662638179499
1305,49.22662638179499
1306,49.22662638179499
1307,68.0
1308,49.22662638179499
1309,49.22662638179499
1310,49.22662638179499
1311,49.22662638179499
1312,49.22662638179499
1313,68.0
1314,49.22662638179499
1315,49.22662638179499
1316,49.22662638179499
1317,68.0
1318,49.22662638179499
1319,49.22662638179499
1320,49.22662638179499
1321,49.22662638179499
1322,49.22662638179499
1323,49.22662638179499
1324,68.0
1325,49.22662638179499
1326,49.22662638179499
1327,49.22662638179499
1328,49.22662638179499
1329,49.22662638179499
1330,49.22662638179499
1331,49.22662638179499
1332,49.22662638179499
1333,49.22662638179499
1334,49.22662638179499
1335,49.22662638179499
1336,49.22662638179499
1337,49.22662638179499
1338,49.22662638179499
1339,49.22662638179499
1340,49.22662638179499
1341,49.22662638179499
1342,49.22662638179499
1343,49.22662638179499
1344,49.22662638179499
1345,49.22662638179499
1346,49.22662638179499
1347,49.22662638179499
1348,49.22662638179499
1349,49.22662638179499
1350,49.22662638179499
1351,49.22662638179499
1352,49.22662638179499
1353,49.22662638179499
