,fuel_cost_12000_miles
637,1548.0944902824476
638,1548.0944902824476
639,1548.0944902824476
640,1548.0944902824476
641,1548.0944902824476
642,1548.0944902824476
643,1548.0944902824476
644,1548.0944902824476
645,1548.0944902824476
646,1548.0944902824476
647,1548.0944902824476
648,1548.0944902824476
649,1548.0944902824476
650,1548.0944902824476
651,1548.0944902824476
652,1548.0944902824476
653,1548.0944902824476
654,1548.0944902824476
655,1548.0944902824476
656,1548.0944902824476
657,1548.0944902824476
658,1548.0944902824476
659,1548.0944902824476
660,1548.0944902824476
661,1548.0944902824476
662,1548.0944902824476
663,1548.0944902824476
664,1548.0944902824476
665,1548.0944902824476
666,1548.0944902824476
667,1548.0944902824476
668,1548.0944902824476
669,1548.0944902824476
670,1548.0944902824476
671,1548.0944902824476
672,1548.0944902824476
673,1548.0944902824476
674,1548.0944902824476
675,1548.0944902824476
676,1548.0944902824476
677,1548.0944902824476
678,1548.0944902824476
679,1548.0944902824476
680,1548.0944902824476
681,1548.0944902824476
682,1548.0944902824476
683,1548.0944902824476
684,1548.0944902824476
685,1548.0944902824476
686,1548.0944902824476
687,1548.0944902824476
688,1548.0944902824476
689,1548.0944902824476
690,1548.0944902824476
691,1548.0944902824476
692,1548.0944902824476
693,1548.0944902824476
694,1548.0944902824476
695,1548.0944902824476
696,1548.0944902824476
697,1548.0944902824476
698,1548.0944902824476
699,1548.0944902824476
700,1548.0944902824476
701,1548.0944902824476
702,1548.0944902824476
703,1548.0944902824476
704,1548.0944902824476
705,1548.0944902824476
706,1548.0944902824476
707,1548.0944902824476
708,1548.0944902824476
709,1548.0944902824476
710,1548.0944902824476
711,1548.0944902824476
712,1548.0944902824476
713,1548.0944902824476
714,1548.0944902824476
715,1548.0944902824476
716,1548.0944902824476
717,1548.0944902824476
718,1548.0944902824476
719,1548.0944902824476
720,1548.0944902824476
721,1548.0944902824476
722,1548.0944902824476
723,1548.0944902824476
724,1548.0944902824476
725,1548.0944902824476
726,1548.0944902824476
727,1548.0944902824476
728,1548.0944902824476
729,1548.0944902824476
730,1548.0944902824476
731,1548.0944902824476
732,1548.0944902824476
733,1548.0944902824476
734,1548.0944902824476
