,manufacturer,transmission,engine_capacity,noise_level,euro_standard_,fuel_type,Petrol,Diesel,Petrol Hybrid
113,0,0,1895.0,72.0,3.0,0,0,0,0
114,0,3,1895.0,70.0,3.0,0,0,0,0
115,0,0,1895.0,72.0,3.0,0,0,0,0
116,0,3,1895.0,70.0,3.0,0,0,0,0
117,0,0,1895.0,72.0,3.0,0,0,0,0
118,0,3,1895.0,70.0,3.0,0,0,0,0
119,0,0,1951.0,73.0,3.0,0,0,0,0
120,0,0,1951.0,73.0,3.0,0,0,0,0
121,0,0,2494.0,74.0,3.0,0,0,0,0
122,0,4,2494.0,73.0,3.0,0,0,0,0
123,0,0,2494.0,74.0,3.0,0,0,0,0
124,0,4,2494.0,73.0,3.0,0,0,0,0
125,0,0,2494.0,74.0,3.0,0,0,0,0
126,0,4,2494.0,73.0,3.0,0,0,0,0
127,0,0,2793.0,71.0,3.0,0,0,0,0
128,0,4,2793.0,70.0,3.0,0,0,0,0
129,0,0,2793.0,71.0,3.0,0,0,0,0
130,0,4,2793.0,70.0,3.0,0,0,0,0
131,0,0,2793.0,71.0,3.0,0,0,0,0
132,0,4,2793.0,70.0,3.0,0,0,0,0
133,0,0,2979.0,75.0,3.0,0,0,0,0
134,0,4,2979.0,74.0,3.0,0,0,0,0
135,0,0,2979.0,75.0,3.0,0,0,0,0
136,0,4,2979.0,74.0,3.0,0,0,0,0
137,0,0,2926.0,73.0,3.0,0,0,0,0
138,0,4,2926.0,73.0,3.0,0,0,0,0
139,0,0,2926.0,73.0,3.0,0,0,0,0
140,0,4,2926.0,73.0,3.0,0,0,0,0
141,0,0,2979.0,75.0,3.0,0,0,0,0
142,0,4,2979.0,74.0,3.0,0,0,0,0
143,0,0,2979.0,75.0,3.0,0,0,0,0
144,0,4,2979.0,74.0,3.0,0,0,0,0
145,0,0,1991.0,74.0,2.0,0,0,0,0
146,0,4,1991.0,73.0,2.0,0,0,0,0
147,0,0,1991.0,74.0,2.0,0,0,0,0
148,0,4,1991.0,73.0,2.0,0,0,0,0
149,0,0,2494.0,74.0,3.0,0,0,0,0
150,0,4,2494.0,72.0,3.0,0,0,0,0
151,0,0,2494.0,74.0,3.0,0,0,0,0
152,0,4,2494.0,72.0,3.0,0,0,0,0
153,0,0,2793.0,74.0,3.0,0,0,0,0
154,0,4,2793.0,72.0,3.0,0,0,0,0
155,0,0,2793.0,74.0,3.0,0,0,0,0
156,0,4,2793.0,72.0,3.0,0,0,0,0
157,0,0,2926.0,74.0,3.0,0,0,0,0
158,0,4,2926.0,71.0,3.0,0,0,0,0
159,0,0,2926.0,74.0,3.0,0,0,0,0
160,0,4,2926.0,71.0,3.0,0,0,0,0
161,0,0,3498.0,74.0,3.0,0,0,0,0
162,0,4,3498.0,71.0,3.0,0,0,0,0
163,0,2,4398.0,73.0,3.0,0,0,0,0
164,0,4,4398.0,73.0,3.0,0,0,0,0
165,0,2,4398.0,73.0,3.0,0,0,0,0
166,0,4,4398.0,73.0,3.0,0,0,0,0
167,0,2,4941.0,75.0,3.0,0,0,0,0
168,0,4,2793.0,73.0,3.0,0,0,0,0
169,0,4,3498.0,73.0,3.0,0,0,0,0
170,0,4,4398.0,72.0,3.0,0,0,0,0
171,0,4,4398.0,72.0,3.0,0,0,0,0
172,0,4,5379.0,72.0,3.0,0,0,0,0
173,0,4,5379.0,72.0,3.0,0,0,0,0
174,0,4,4398.0,75.0,3.0,0,0,0,0
175,0,2,4941.0,75.0,3.0,0,0,0,0
176,0,3,4565.0,72.0,2.0,0,0,0,0
177,0,0,4300.0,74.0,2.0,0,0,0,0
178,0,3,4300.0,74.0,2.0,0,0,0,0
179,0,3,4300.0,74.0,2.0,0,0,0,0
180,0,3,3800.0,74.0,2.0,0,0,0,0
181,0,3,3800.0,74.0,2.0,0,0,0,0
182,0,3,5700.0,75.0,2.0,0,0,0,0
183,0,3,5700.0,72.0,2.0,0,0,0,0
184,0,2,5666.0,75.0,2.0,0,0,0,0
185,0,2,5666.0,74.0,2.0,0,0,0,0
186,0,13,1996.0,71.0,3.0,0,0,0,0
187,0,0,1996.0,71.0,3.0,0,0,0,0
188,0,0,1996.0,73.0,3.0,0,0,0,0
189,0,3,1996.0,72.0,3.0,0,0,0,0
190,0,2,7990.0,74.6,2.0,0,0,0,0
191,0,0,1995.0,74.0,2.0,0,0,0,0
192,0,0,2499.0,74.0,2.0,0,0,0,0
193,0,0,2499.0,74.0,2.0,0,0,0,0
194,0,3,3301.0,71.0,2.0,0,0,0,0
195,0,3,3301.0,71.0,2.0,0,0,0,0
196,0,0,2464.0,75.0,2.0,0,0,0,0
197,0,0,2499.0,75.0,2.0,0,0,0,0
198,0,3,3960.0,74.0,3.0,0,0,0,0
199,0,3,3124.0,75.0,3.0,0,0,0,0
200,0,3,3956.0,71.0,3.0,0,0,0,0
201,0,3,4701.0,73.0,3.0,0,0,0,0
